query,videoId,author,comment
stress verminderen supplementen,EDNuAa47GZU,@williammolina9792,Ashwaganda L theanine 5 htp Rhodiola Rosea
stress verminderen supplementen,E5XD3qfkKLk,@HollandBarrettNL,Waar zou ashwagandha jou bij kunnen ondersteunen?
stress verminderen supplementen,E5XD3qfkKLk,@mrinfinity4003,Nu over de nadelen
stress verminderen supplementen,E5XD3qfkKLk,@Salam_8,Super kanaal. Ik ben een vaste klant bij Holland & Barrett NL en ik kijk met alle plezier naar jullie videos.
stress verminderen supplementen,PEnjOdlFPnI,@bastiaan1150,verhoogt / verlaagt*
beter slapen zonder melatonine,eYxGdHYa0OQ,@NOSStories,Heb jij door wat de muziekjes in deze video met elkaar gemeen hebben? ;)
beter slapen zonder melatonine,eYxGdHYa0OQ,@djplay2618,De waarheid over bier/alcohol drinken voor je 18e
beter slapen zonder melatonine,eYxGdHYa0OQ,@max-xu4cd,Verdomde asmr jumpscare
collageen supplementen werkt het,Nb_NyUvVXXs,@Mo_Abbas,"De sluwheid van de producenten is als volgt: 1. Zeg wat collageen in zn algemeenheid doet voor het lichaam, niet het poeder zelf wat al afgebroken wordt door je spijsvertering. 2. Voeg veel vitamine C toe, want vitamine C is wat daadwerkelijk bijdraagt aan de aanmaak van collageen (alleen niet zeggen want anders gaan ze veel fruit eten)."
collageen supplementen werkt het,Nb_NyUvVXXs,@sasjadv,"En voor de mensen die denken: _“is er iets wat dan wel werkt?”_ Ja, *Zonnebrandcrème.* Als je dat op lange termijn gebruikt bij zonnig weer, dan zal je huid minder verouderen. En dit is extra belangrijk tijdens wintersport of watersport, wanneer het water of de sneeuw zonlicht reflecteerd. Wat ook werkt: niet roken en geen alcohol nuttigen (of het gebruik in ieder geval minimiseren)."
collageen supplementen werkt het,Nb_NyUvVXXs,@hilderenshof2476,"Laat jezelf gewoon ouder worden mensen❤️ vroeger waren we nog trots op onze leeftijd, dat kwam met respect, wijsheid en levenservaring. Nu zijn mensen in ontkenning dat we allemaal ouder zullen worden, we zijn niet trots meer op onze levenservaring en wijsheid. Laten we daar verandering in brengen en weer wat nuchterder in het leven staan"
collageen supplementen werkt het,RFazMACvH3I,@Borre972,Collageen zit als basis in mousse-chocolat.
collageen supplementen werkt het,RFazMACvH3I,@lotuscabrio2937,Ik vind jmmr dat ik niet in mijn yoguurt kan mixen
collageen supplementen werkt het,RFazMACvH3I,@JLT407,"Collageen ( pillen ) ,van waar is deze grondstof afkomstig ? Dierlijk ? Plantaardig ? Ik hoop plantaardig . . dan zou het ook geschikt zijn voor vegetariërs 😉"
collageen supplementen werkt het,GMFQpu61cAk,@InekeRteS,Hoe zit het met collageen afkomstig van runderen en Gekkekoeienziekte?
collageen supplementen werkt het,GMFQpu61cAk,@mindfullminds38,"Ook een tijdje gebruikt, helaas bij mij geen effect"
collageen supplementen werkt het,GMFQpu61cAk,@rw80,"Dat zoiets lijkt te werken komt wellicht meer doordat mensen die dit gaan gebruiken over de hele linie verstandiger gaan leven (minder alcohol, beter eten, etc)."
collageen supplementen werkt het,mtUITXCdMj0,@HollandBarrettNL,Met welk doel zou jij collageen supplementen of poeder gebruiken?
collageen supplementen werkt het,mtUITXCdMj0,@RickSporter1974,👍👍👍
collageen supplementen werkt het,mtUITXCdMj0,@pascalledouven7022,"Interessant, ik ben 53 en zie laatste weken en mnd mijn huid armen benen plots veranderen"
collageen supplementen werkt het,rlGR-RQKG6A,@mariskabouman3868,Geen voor en na foto dus bij de dermatoloog? Dat is een gemiste kans.
collageen supplementen werkt het,rlGR-RQKG6A,@angrybatarian,De nieuwste onzin health craze? Lijkt me dat men gewoonweg bouillon verkoopt tegen een meerprijs met wat rebranding.
collageen supplementen werkt het,rlGR-RQKG6A,@Petzep,"Ja, dat er onderzoeken zijn geschreven is niet genoeg voor Pointer Checkt, jullie hebben even door gegraven! Thanks voor het uitzoeken! P.s. Ook fijn voor Benji om te weten dat hij objectief een jong gezicht heeft!"
huid van binnenuit voeding,N_H2IOtgiyo,@kirpich27.,Почему монеточка так постарела?
huid van binnenuit voeding,N_H2IOtgiyo,@roxaneverkaik3210,Klos
huid van binnenuit voeding,2zLCxUpuEiM,@justlirix,wow!
magnesium voordelen slaap,fIwINECglZ4,@NPOStartNext,Slik jij magnesium? 💊
magnesium voordelen slaap,fIwINECglZ4,@rphwww,Je zou maar wetenschapper zijn en autoriteit op dit gebied zoals Jeroen en zoveel onzin voorbij zien komen. En dan ook nog n's zo relaxed en duidelijk antwoord geven. Respect 😅💯
magnesium voordelen slaap,fIwINECglZ4,@jplater9191,Leuk om al die kwakzalvers voorbij te zien komen 😂
magnesium voordelen slaap,sLjjPHcu8wU,@RobertaMeriam,Zeer prettige uitleg
magnesium voordelen slaap,sLjjPHcu8wU,@Lex-nl5vw,"Niet zonder meer slikken,niet altijd oké bijv.voor hartpatiënten."
magnesium voordelen slaap,sLjjPHcu8wU,@helenterpstra2134,Moet je dat extra slikken als je ongesteld bent?
magnesium voordelen slaap,Wm_MXdUc9ck,@moss7988,"As someone that deals with general anxiety disordered, PTSD and panic. Highly recommend the supplement for sleep. A hell of a lot better than melatonin."
magnesium voordelen slaap,Wm_MXdUc9ck,@goldenegg3974,Yeahh I feel so relaxed
magnesium voordelen slaap,Wm_MXdUc9ck,@sanyamjain3561,"Anxiety, insomnia, heart palpations, racing thoughts, brain fog, light sensitivity, muscle twitch - all since 10 years - ended with just 1 tablet"
vitamine d tekort symptomen,4t3fmhP7Ku8,@minitriangel3627,Vitamine D en Covid was wel een mooie uitdaging geweest. En wat ik snap is dat de NHG niet wil dat er geprikt wordt op vitamine D. De NHG wil wel vaker dingen niet die voor een patiënt van belang zijn zoals ivermectine of HCQ.
vitamine d tekort symptomen,4t3fmhP7Ku8,@bluestar1103,ik had zo.n pijn in mijn benen ben vitamine d gaan gebruiken en de pijn is weg wat een goede uitleg van dokter zuidwijk fijn dat u er aandacht aan besteed dank u wel
vitamine d tekort symptomen,4t3fmhP7Ku8,@pienke_1232,Ow dus door prikken kom je er achter of je tekort hebt aan vit D?
vitamine d tekort symptomen,AXq2ZdXXFCU,@Drberg,"I wanted to add one more thing about mixed reviews on vitamin D. For example, why do some people,(most) do well on high dose vitamin D, but not everyone. I should probably do a video on this but here's the data: magnesium is the vital cofactor for vitamin D and the more vitamin D you take, the more magnesium is required so IF a person omits magnesium and takes lots of D3, they could experience magnesium deficiency symptoms: lack of sleep, muscle tightness, restlessness, leg/foot cramps, panic attacks, anxiety, etc. Interesting. The same thing goes with magnesium, if you are low on D3, and omit D3 and take lots of magnesium you could end up with bone pain, achy low back, low immune system, sleep problems, etc."
vitamine d tekort symptomen,AXq2ZdXXFCU,@splendore.ngrandeur3599,1.Head sweating 2. Excess sweating at night 3. Mood swings 4. Procrastination 5. Panic attack 6. Body Ache 7.loss of muscle strength 8.stiffness 9. Chronic fatigue 10.Inability to think 11. Hard to feel satisfied with food
vitamine d tekort symptomen,AXq2ZdXXFCU,@nightone9720,"3 years ago I woke up to go to work at 5 am. Im an HVAC Refrigeration technician. I work very hard everyday. When I got up and started walking to the bathroom to take a shower I all of a sudden lost control of my body. I fell over and hit the floor. Im not a wimp. So I tried to get up but couldn't. I called for my dad who was sleeping. Luckily my french bulldog heard me and sensed something was wrong and started barking and my dad woke up. I remember when my dog and dad came in my room my dad was asking what happened. I told him I think I need to see a doctor. He picked me up and got me to the hospital. What felt like a very long time I finally got in a room with the nurse and told her what happened. Apparently I was so deficient in potassium and magnesium. They had me on an IV for like 2 hours. Its hard to remember how long. What I do remember is how much better my body felt as the IV was going. I felt so much better physically and mentally. Since then I have been taking my magnesium and potassium BUT noticed that vitamin D has helped me INCREDIBLY as well. There is a huge difference when I am not deficient vs being deficient. Its actually crazy how much more relaxed I feel. I can tell when I am deficient. Muscle tightness, anxiety, lack of sleep. Now I take my supplements everyday. Magnesium, potassium, vitamin D and K2. Doctor told me that I must have difficulty getting these vitamins and trace minerals in my diet. If someone has read this all the way through if anything I would highly recommend buying Magnesium Calm. Look it up on Amazon. It has been a life changer. ❤ magnesium seems to be the biggest help for me but all the other vitamins I have written about are also very important to my physical and mental health."
vitamine d tekort symptomen,uysop5NZqmY,@dr.nickzyrowski,👉 Watch Next: High Dose Vitamin D Treats Incurable Diseases?: https://youtu.be/dTNXqXWhxpI
vitamine d tekort symptomen,uysop5NZqmY,@KimberlyMitchell-v8q,"1. Frequent infections 2. Depression or low mood 3. Stiffness and Pain 4. Muscle Weakness 5. Bone pain 6. Slow wound healing 7. Excessive head sweating 8. Chronic fatigue 9. Autoimmune tendencies Take Vitamin D/K3 in the am with meal 5,000 UI for maintenance 10,000 UI for building levels"
vitamine d tekort symptomen,uysop5NZqmY,@Solitude54,Don’t forget magnesum! It’s essential to activate vitamin d in your body.
vitamine d tekort symptomen,kDBYM4UvTmQ,@it2313,"Vit. D deficiency symptoms: 1. Head sweating 2. Sweating more at night 3. Mood swings 4. Procrastination 5. Panic attacks 6. Achiness inside bones 7. Loss of muscle strength 8. Stiffness (knees, fingers) 9. Chronic fatigue 10. You cannot think quickly 11. Not getting satisfied eating, tendency to overeat"
vitamine d tekort symptomen,kDBYM4UvTmQ,@Robo-hy8xu,"This is crazy, I asked my doctor many times, why do I sweat for no reason, where my hair is wet. She looks at me like I am crazy and of course no response"
vitamine d tekort symptomen,kDBYM4UvTmQ,@Leah_Tewari,"#12 Balance. In my late 20s I was severely Vitamin D deficient and my doctor prescribed me only 1,000 IUs daily, which did absolutely nothing. I would lose my balance and fall down, trip over nothing and injure myself. I have autoimmune issues and when I heard you teach on vitamin D, I listened. Now, I’m no longer deficient, my balance is great, I no longer get sick as much, my hair stopped excessive shedding, I’ve lost weight, and I have energy! I got my mom and grandmother to do the same and they no longer run into furniture. Dr. Berg is the best!"
vitamine d tekort symptomen,GDAyrQbsa34,@paulientemmink1547,Dankjewel Noor voor elke week een boeiende podcast ❤🙏
vitamine d tekort symptomen,GDAyrQbsa34,@paterpoei,"Zo Noor, ik wil je bij deze bedanken voor deze super goede uitleg en wat fijn dat je wat rustiger praat dan hoef ik niet elke keer terug te luisteren kijk zo kan je ook de week beginnen als het ware ... nog een prettige week en tot de volgende eej"
vitamine d tekort symptomen,GDAyrQbsa34,@lindapinda3867,Dank! Op mijn flesje D3 en K2 staat de hoeveelheid in mcg aangegeven. 10 druppels is 50 mcg. Hoeveel mcg viamine D is de aanbevolen hoeveelheid als je uitgaat van de waardes die je noemde?
vitamine d tekort symptomen,-wcVnAkStkc,@niemandprinses7023,"Mijn waarde zijn nu 24 en ben zeer vermoeid, de huisarts adviseerd 10q te slikken of 2 daarvan maar ik merk totaal niets. Nu heb ik ook 25 mcg ( 1000 ie geloof ik) en 50 mcg ( 2000 ie ?) In huis. Wat adviseer jij ?"
vitamine d tekort symptomen,-wcVnAkStkc,@2gerrit,Deskundig advies??? en u geeft aan dat margarine vit. D bevat.. hoe komt u erbij dat nagenoeg chemisch geproduceert vet met een gele kleurstof een voedings stempel heeft.. ik gebruik het woord chemisch maar heb even gezocht en vond geëmulgeerde oliën.. wel oliën die vroeger als motorolie werden gebruikt en dus al heel slecht zijn door verwarming of verhitting.. bewezen hartfalen en dichtslibben van aderen door margarine gebruik.. door vit. A en D toe te voegen maakt het er niet natuurlijker op of zelfs eetbaar..
vitamine d tekort symptomen,-wcVnAkStkc,@extrahulp,Dit tekort heb ik al zeker want neem 1x/maand pur vitD in.
vitamine d tekort symptomen,KsWSIFnT1Rs,@jolandevangunsteren8739,Wat een duidelijk verhaal en wat een enige en competente presentatrice...
vitamine d tekort symptomen,KsWSIFnT1Rs,@andreavos5627,Mevrouw loopt erg achter op de doses. 400-600 is zo goed als niets. Ik neem 20.000 per dag na flink wat onderzoek (dr. berg et al). Natuurlijk met magnesium en K2.
vitamine d tekort symptomen,KsWSIFnT1Rs,@karen1801,Elke winter werd ik zwaarmoedig en ik heb adhd zo kwam ik bij de psychiater en psycholoog en die raden mij om elke week 1 vitamine d pil te nemen. Dat doe al drie jaar nu en ik kan zeggen dat het dan veel beter met mij in de winter ik ga veel vrolijker de winter in
energie supplementen natuurlijk,3wxdZua4VQ0,@7bees,Lees meer: https://www.7bees.com/focus-supplementen-gamen/
energie supplementen natuurlijk,khLOVl51WDI,@Natuurlijke-Supplementen,"En voor de rust, balans en minder prikkels, het LTO3 pakket van Pure Fuel ❤❤"
vermoeidheid oorzaken voeding,_h4YXlRfDYA,@TheMajesticManatee-j1e,"Mensen werken steeds meer, zitten continue achter een scherm en hebben steeds minder vrije tijd en gemeenschap. Volgens mij heeft dat er ook wat mee te maken, gok ik zo."
vermoeidheid oorzaken voeding,_h4YXlRfDYA,@liekieliek,"Wat kan deze wetenschapper dit goed en rustig uitleggen, zeg. Heel fijn om naar haar te luisteren. Bedankt voor deze content"
vermoeidheid oorzaken voeding,_h4YXlRfDYA,@Femke-h3v,"​ Ik heb ADHD, en na 8 jaar onderzoeken in het ziekenhuis mbt vermoeidheid ben ik er achter gekomen dat de internist, de kno-arts, de cardioloog, de longarts en de neuroloog het niet weten. Toen ben ik in coronatijd opzoek gegaan naar de beste voeding voor mijn kinderen en evt voedingintollerance op te sporen. Toen bleek dat ik mij veel beter ben gaan voelen, ik had weer energie, ik kon de kinderen naar bed brengen, en de afwas en het avondeten afmaken zonder halverwege te moeten slapen. Tot we weer brood gingen eten. Binnen 2 dagen was de ernstige vermoeidheid weer terug. Nu eet ik reeds 5 jaar gluten vrij. En ik voel me er prima bij. Gewoon normale energie, normale vermoeidheid, normale spierkracht opbouw. Dit gun ik iedereen. Coeliakie is een auto-immuunziekte. Dit is in het bloed te meten. Ik heb gluten intolerantie, dit is niet te meten in je bloed, maar je darmen missen de eiwitten om gluten af te breken, waardoor schade ontstaat."
vermoeidheid oorzaken voeding,nitLKVQULpc,@hcbosbos,Danke
vermoeidheid oorzaken voeding,MGkQoE6R2pE,@FarziaAlli,Een mrns heeft ook rust nodig
vermoeidheid oorzaken voeding,MGkQoE6R2pE,@suzannelucassen7118,Ook migraine heeft een invloed na de migraine aanval is de patiënt nog moe en heeft herstel nodig
stofwisseling versnellen natuurlijk,R4cg85wdNq0,@JufDanielle,Download ook de gratis Actieve Samenvatting: https://jufdanielle.com/actieve-samenvatting-stofwisseling-de-basis/ P.s. Wat weet jij over hypothyreoïdie?
stofwisseling versnellen natuurlijk,R4cg85wdNq0,@thebasement7330,Fijne stem om naar te luisteren
stofwisseling versnellen natuurlijk,R4cg85wdNq0,@sesar8945,Dankjewel juf dit was heel erg leerzaam
stofwisseling versnellen natuurlijk,p7wUubD1Bow,@DonaldMalestein,Vragen? Laat ze hieronder achter!
stofwisseling versnellen natuurlijk,p7wUubD1Bow,@DonaldFifaHD,Jeetje jouw metabolisme is indd enorm verhoogd hiermee!
stofwisseling versnellen natuurlijk,p7wUubD1Bow,@MrGamingProjectNL,Dankjewel weer!
stofwisseling versnellen natuurlijk,uuEenEWIDX8,@ChristianSonic,✅ OFFICIËLE WEBSITE – PURIVA : 🔗 https://rebrand.ly/Get-Puriva 🔗 https://rebrand.ly/Get-Puriva
